2498;BearBotics
2500;Herobotics
2501;Bionic Polars
2502;Talon Robotics
2503;Warrior Robotics
2506;Saber Robotics
2508;Armada
2509;Tigerbots
2511;Cougars
2512;Duluth East Daredevils
2513;T.E.R.T.O.L.A.
2518;Spartan Robotics
2521;SERT
2522;Royal Robotics
2523;Tech Storm
2526;Crimson Robotics
2530;Inconceivable
2531;RoboHawks
2534;Lumberjack Robotics
2537;Space RAIDers
2538;The Plaid Pillagers
2539;Krypton Cougars
2543;TitanBot
2549;Millerbots
2550;Skynet
2551;Penguin Empire
2554;The Warhawks
2556;RadioActive Roaches
2557;SOTAbots
2559;Normality Zero
2560;RoboDog
2574;RoboHuskie
2582;PantherBots
2583;Orange Dynamite
2584;Flame of The West
2585;Impact
2586;Copper Bots
2587;DiscoBots
2590;Nemesis
2591;RedTails
2594;Naskcorpions
2601;Steel Hawks
2603;Steel Stingers
2604;Metal and Soul
2606;Irish Robotics
2607;The Fighting RoboVikings
2609;Beaverworx
2611;Jacktown Vectors
2614;Mountaineer Area RoboticS (MARS)
2619;The Charge
2620;Titans
2626;Evolution
2630;Thunderbolts
2634;The Gryphons
2635;Lake Monsters
2637;Phantom Catz
2638;Rebel Robotics
2640;HOTBOTZ
2641;Pittsburgh Central Catholic Robotics
2643;Dark Matter
2648;Infinite Loop
2654;Polar Rams
2656;Quasics
2657;Team Thundercats
2658;\u03a3-Motion
2659;RoboWarriors
2662;RoboKrew
2667;Knights of the Valley
2673;Tenacious Technicians
2679;Atlantis
2682;Boneyard Robotics 2682
2687;Team Apprentice
2689;Team Alpha
2702;Rebels
2704;Roaring Robotics
2706;Merge Robotics
2708;Lake Effect Robotics
2710;JetStream
2712;Power Surge 4-H Robotics
2713;Red Hawk Robotics
2714;\u2668\ufe0f BBQ \u2668\ufe0f
2718;Team OKC e'possums (\u03a3 1/n! x 10\u00b3)
2720;Red Watch Robotics
2722;Charge Robotics
2724;Avalanche Robotics
2726;Red Pebble Rebels
2728;\u2668\ufe0f TACO \u2668\ufe0f
2733;Pigmice
2767;Stryke Force
2771;Code Red Robotics the Stray Dogs
2773;IronDogz
2783;Engineers of Tomorrow
2785;Prometheus
2789;TEXPLOSION
2791;Shaker Robotics
2797;Knight & Nerdy
2811;StormBots
2813;Gear Heads
2815;Blue Devil Mechanics
2823;The Automatons
2826;Wave Robotics
2827;LEGION Robotics
2830;Riverside RoboTigers
2832;The Livonia Warriors
2834;Bionic Black Hawks
2839;Daedalus
2840;PCDS Blue Tide
2846;FireBears
2847;The MegaHertz
2848;Rangers
2849;Ursa Major
2851;Crevolution
2852;DM Robotics
2853;Hot Spot Robotics
2854;The Prototypes
2855;BEASTBOT
2856;Planetary Drive
2861;Infinity's End
2867;ElkLogics
2869;Regal Eagles
2872;CyberCats
2875;CyberHawks
2876;DevilBotz
2877;LigerBots
2881;Lady Cans
2882;Nuts n' Boltz
2883;F.R.E.D (FIRST Robotics Engineering and Design)
2890;The Hawk Collective
2896;MechaMonarchs
2898;Flying Hedgehogs
2900;The Mighty Penguins
2903;NeoBots
2905;Sultans of Turkiye
2906;Sentinel Prime Robotics
2910;Jack in the Bot
2912;Panther Robotics
2914;TIGER PRIDE
2915;Pandamonium
2926;Robo Sparks
2927;NEST Robotics
2928;Viking Robotics
2929;Emeral Ridge JAGBOTS
2930;Sonic Squirrels
2935;NACI Robotics
2945;Steel Mustangs
2950;Devastators
2959;Robotarians
2960;Automation Nation
2963;AnaDroids
2969;Aftermath
2972;Gears and Buccaneers
2973;Mad Rockers
2974;Walton Robotics
2976;The Spartabots
2977;Sir LancerBots
2978;Cavaliers
2980;Whidbey Island Wildcats
2984;Vikings Robotics
2987;Rogue Robotics
2988;RoboRiot
2990;Hotwire
2992;The S.S. Prometheus
2996;Cougars Gone Wired
2998;VikingBots
3003;TAN(X)
3004;Bx Quixote
3005;RoboChargers
3006;Red Rock Robotics
3008;Team Magma
3009;High Scalers
3015;Ranger Robotics
3017;Patriots
3018;Nordic Storm
3019;Firebirds
3020;SMbld
3023;STARK Industries
3024;My Favorite Team
3026;Orange Crush Robotics
3035;Droid Rage
3038;Inter-district Computers and Engineering
3039;Wildcat Robotics
3042;Cobalt Catalysts
3044;Team 0xBE4
3045;Gear Gremlins
3049;BremerTron
3053;VB Stingers
3054;IceStorm
3055;Furious George
3061;Huskie Robotics
3065;Jatt High School
3067;Robovikes
3070;Team Pronto 3070
3072;Backwoods Bots
3075;Ha-Dream Team
3082;Chicken Bot Pie
3083;Artemis
3090;Chaotic Robotics
3091;100 Scholars
3096;The Village Bulldogs
3098;Waterford Robotics
3100;The Lightning Turtles
3102;Tech-No-Tigers
3117;Harfangs
3128;The Aluminum Narwhals
3130;The ERRORs
3132;Thunder Down Under
3134;The Accelerators
3136;O.R.C.A.
3137;T-Birds
3138;Innovators Robotics
3140;Flagship
3142;Aperture
3146;GRANBY GRUNTS
3147;Munster Horsepower
3158;PrepaTec - TECBOT
3160;F. R. O. G. - FIRST Robotics Organization of Grove
3161;Tronic Titans
3163;ROARBOTS
3164;Stealth Tigers
3166;Rooks
3171;HURRICANES
3173;IgKnighters
3175;Knight Vision
3176;Purple Precision
3179;The A.N.T.
3181;Pittsford Panthers
3182;Athena's Warriors
3184;Blaze Robotics
3189;Circuit Breakers
3193;Falco Tech
3196;Team SPORK
3197;HexHounds
3200;Raptacon
3201;Ross Rambotics
3204;Steampunk Penguins
3205;Patriots
3206;Royal T-Wrecks
3211;The Y Team
3212;YME Stingbots
3216;MRT
3218;Panther Robotics
3219;TREAD (Trojan Robotics, Engineering, Art, & Design)
3229;Hawktimus Prime
3234;Red Arrows
3240;Team Orion
3242;ILLUMICATS
3243;Amperes
3245;Ravens
3247;Robopack
3255;SuperNURDs
3256;WarriorBorgs
3257;Vortechs
3258;MADAWGS
3260;SHARP
3267;Mariner Robotics
3268;Valhallabots
3275;The Regulators
3276;TOOLCATS
3277;ProDigi
3278;Electric Lakers
3282;Dallas Robo Tigers
3284;Camdenton  LASER 3284
3288;Punchers
3291;Au Pirates
3293;OtterBots
3294;Backwoods Engineers
3295;STEMdroids
3297;Full Metal Jackets
3298;ArrowBots
3300;Midwest WARRIORS
3302;TurboTrojans
3309;Friarbots
3310;Black Hawk Robotics
3313;Mechatronics
3314;Mechanical Mustangs
3316;D-Bug
3318;RoboDragons
3322;Eagle Evolution
3323;Potential Energy
3324;The Metrobots
3328;NoHoRobo
3329;Wildbots
3336;Zimanators
3339;BumbleB
3340;Union City EagleX Robotics
3341;Option 16
3344;Space Dragons
3354;PrepaTec - TecDroid
3357;COMETS
3359;Royal Robotics
3360;Hyperion
3361;Governators
3373;Team RoboHawk
3381;Droid Rage
3388;Flash in memory of Margarita Gusak
3390;ANATOLIAN EAGLEBOTS
3393;Horns of Havoc
3397;Robolions
3407;Wild Cards
3408;cyberCubs
3414;Hackbots
3418;RoboRiot
3419;RoHawks
3424;Corax
3425;PULSARS
3452;GreengineerZ
3454;Z Bots
3455;Robot Revolution
3458;Code Blue
3459;Team PyroTech
3461;Operation PEACCE Robotics
3464;Sim-City
3465;The Omega Factor
3467;Windham Windup
3468;MAGNAtech Rebels
3472;PrepaTec - Buluk
3473;Team Sprocket
3476;Code Orange
3478;PrepaTec - LamBot
3480;PrepaTec - ABTOMAT
3481;Bronc Botz
3482;Arrowbotics
3484;Short Circuit
3487;Red Pride Robotics
3488;Eagle Army
3489;Category 5
3490;Viper Drive
3492;Putnam Area Robotics Team (P.A.R.T.s)
3494;The Quadrangles
3501;Firebots
3502;Octo(PI)Rates
3504;Girls of Steel
3506;YETI Robotics
3512;Spartatroniks
3522;CBoT\u00b4S4
3526;PrepaTec - Blue Ignition
3527;PrepaTec - Balam Esmeralda
3532;Piranhas
3533;Mekano
3536;Electro Eagles
3537;Delta Force
3538;RoboJackets
3539;Byting Bulldogs
3543;C4 Robotics
3544;Spartiates
3545;Bots in Blue
3550;Robotronix
3559;Thundercats
3560;MechaWolves
3561;RoboRaiders
3566;Gone Fishin'
3568;Linden RoboEagles
3572;Wavelength
3574;HIGH TEKERZ
3577;Saint's Robotics
3596;Rocket Robotics
3597;Robo-Rangers
3598;SEStematic Eliminators
3602;RoboMos
3603;Cyber Coyotes
3604;Goon Squad
3606;BearMetal
3610;Islanders
3616;Team Phenomena
3618;Petoskey Paladins
3619;BLACKHAWKS
3620;Average Joes
3623;The Robomingos
3624;Soaring Colts
3627;The Jungle Robotics
3630;Stampede
3632;D-Techs
3634;Bridgeport Spark City
3635;Flying Legion
3636;Generals
3637;The Daleks
3641;The Flying Toasters
3646;INTEGRA BAHCESEHIR
3647;Millennium Falcons
3648;Sparta Robotica
3654;TechTigers
3655;Tractor Technicians
3656;Dexter Dreadbots
3658;Robo - Beavers
3663;CPR - Cedar Park Robotics
3667;Mecanum Knights
3668;TroBots
3669;CarbonKnights
3673;C.Y.B.O.R.G. Seagulls
3674;CloverBots
3676;RedShift Robotics
3679;rattlers
3680;Elemental Dragons
3681;Robo-Raiders
3683;Team DAVE
3688;Norsemen
3691;RoboRaiders
3692;Rock N' Robotics
3704;RoboSapiens
3707;TechnoDogs
3712;RoboCats
3714;CHF S.O.A.R.
3719;STEM Whalers
3721;Charger Robotics
3723;TEKnights
3728;Momentum
3729;The Raiders
3734;StarBots
3735;VorTX
3739;Oakbotics
3740;Storm Robotics
3745;Governors
3748;Ragnarok Robotics
3749;Team Optix
3751;Tower View Robotics
3753;BulahBots!
3756;RamFerno
3759;SMARTBOTS
3760;Robo Raccoons
3767;TC Titans
3770;BlitzCreek
3773;Arrowhead Robotics
3777;Bean City Bots
3786;Chargers
3792;Army Ants
3794;Prepa Tecmilenio WinT
3799;Electric Fire
3807;Overland BlazerBots
3814;PiBotics
3815;NF Raiders
3821;Pirabots
3822;Neon Krakens
3824;HVA RoHAWKtics
3826;Sequim Robotics Federation \"SRF\"
3835;Vulcan
3838;Roc City Robotix
3843;ROBO RACERS
3847;Spectrum   -\u25b3\u25c5
3848;Bots in Shining Armour
3863;Pantherbotics
3865;Riley WildBots
3871;THE Trojan Robotics
3875;Red Storm Robotics
3876;Mabton LugNutz
3880;Tiki Techs
3881;WHEA Sharkbots
3882;Lunas
3883;Data Bits
3891;Rodeo Robotics
3892;Roboponies
3893;K-T Extinction
3925;Ventura Robotics
3926;MPArors
3928;Team Neutrino
3931;Cockadoodle Dominators
3932;The Dirty Mechanics
3933;PrepaTec - Taman Keet
3936;RoboBlitz 3936
3937;Breakaway
3939;Botetourt 4-H Robotics
3940;CyberTooth
3944;All Knights
3950;RoboGym Robotics
3951;SUITS
3952;Troy Robotics
3954;4-H Electrotechs
3958;Schrodinger's Cat
3959;Mech Tech
3965;Sultan Robotics Team 3965
3966;Gryphon Command
3970;Duncan Dynamics
3975;Les Dragons
3976;Electric Hornets
3984;Topper Robotics
3985;Sonic Howl
3986;Express-O
3990;Tech for Kids
3996;RIKITIK
4003;TriSonics
4004;M.A.R.S. Rovers
4005;Hostile Gato Robotics
4009;DNA Robotics
4010;PrepaTec - Nautilus
4013;Clockwork Mania
4015;Jags
4019;Mechanical Paradise
4020;Cyber Tribe
4021;igKnightion
4024;TechnoSaints
4026;Decatur Robotics
4027;Centre Punch
4028;The Beak Squad
4034;Pelham \u03c0thons Team 4034
4039;MakeShift Robotics
4041;Iron Tigers
4043;NerdHerd
4048;Redshift
4050;Biohazard
4054;The Aeronauts
4060;Bearcat Robotics
4061;SciBorgs
4063;TriKzR4Kidz
4065;Nerds of Prey
4068;Bearbotics
4069;Lo-Ellen Robotics
4076;Texan Robotics
4079;Quantum Leap
4083;The Legendary Iron Wolverines
4085;Technical Difficulties
4087;Voodoo Voltage
4089;Stealth Robotics
4091;DRIFT
4093;Hardwired
